# id xcentroid ycentroid fwhm sharpness roundness pa npix peak flux mag
62 448.7469271477472 371.28520948852525 1.8723275472795526 0.5534534625476383 0.10875725902242922 25.80040053492979 12 19989.757733773848 119218.01723264653 -12.690854736526777
71 1087.0570953653892 399.6949551843061 1.9906090017189373 0.5884170460348143 0.0835738964342517 27.340261132008802 12 19854.562037592797 133595.908430636 -12.814482893604662
63 661.0594749366148 373.95609358976907 1.933480676837574 0.5715301133712016 0.09987964139935336 7.779823192335364 13 13073.361508714675 72780.88911285621 -12.15504339188099
8 472.3282360588287 37.654939627594146 1.8878986758876612 0.5580562336046864 0.1465841252830519 35.86797935630191 11 2598.122772484646 16736.974159290403 -10.559192364026122
67 583.9821906781282 392.76364658062 1.9067912402427125 0.563640809430588 0.10202231369002995 7.787924475903423 12 2117.3980816458834 11810.795067351308 -10.180697835003535
18 568.2575349672005 99.8283463079514 1.9033902769732347 0.5626354966047288 0.09154101086722453 19.72738102237778 13 1283.76490921666 7700.866006914877 -9.716348917111791
146 654.9035300752222 812.9314153982307 2.022761118625921 0.5979210991350647 0.044438815575148734 55.78963759685982 13 974.220251868973 6443.7882422486655 -9.522853150157063
24 799.3649800038559 137.95418523005725 1.9011312597064536 0.5619677390160144 0.0569100005979135 1.3341456316961549 12 923.4468617840334 5602.171358741948 -9.370890972133664
149 399.2652598700752 828.1066581958418 1.9520017520401083 0.577004878305276 0.07065356126235808 145.38320451872625 13 899.9324671397628 6026.115529984045 -9.450093633790411
61 725.2844502753524 363.37312751164524 1.8216938633535606 0.5384863229939313 0.12117787577770124 149.02754778276687 11 720.1692275446073 4106.214665591457 -9.033604124425743
76 233.19721794053987 417.07289924148296 1.9686183937707353 0.5819166993779785 0.16082168244764805 178.71966495541557 13 655.4128492286856 4136.176909467136 -9.041497764505259
20 130.07570533607077 114.23773662483109 1.9963928421208776 0.5901267289916922 0.15191829488561712 178.21253172660843 12 496.1955801061439 3529.7710250326186 -8.869366334439698
125 627.8983556906204 696.8227638218813 1.96585720685468 0.5811005022004855 0.03756036331168988 35.55131486301771 13 462.8153355282901 2879.4910011550364 -8.648289314080234
57 476.0941832526503 338.3610450455528 1.876258735044826 0.5546155078766069 0.07959193624338763 173.89717725753997 12 436.881587269038 2603.7660565007977 -8.539004902759832
53 146.8622988097643 324.7169631474973 1.9764452927259517 0.5842303032845542 0.15488180545634408 172.0567743829683 12 419.53528918653 2720.9192672383824 -8.58678913990232
36 902.0681221569347 224.31426225152345 1.9456422370865134 0.5751250279680289 0.0732128628611107 159.8030060665903 12 412.9270141278256 2567.354606805376 -8.523714645522313
25 700.3713829163008 144.85717906434502 1.8709431594225174 0.5530442423478402 0.08728206783404056 16.299373462484613 12 405.2134155969056 2446.500640101953 -8.47136333431174
32 360.08288886288585 172.0524874655562 1.9636842225323394 0.5804581756486978 0.09877023895248002 3.4997981358214036 13 389.1438994608387 2303.9757281183506 -8.406194748944136
143 145.9091336480873 802.9415916191045 2.0684773134992516 0.6114346461551415 0.0752721524343188 178.52963488074582 13 369.8143186549206 2676.9642809035017 -8.56910644093894
54 578.9894477526393 334.63770490817404 1.8737379400202423 0.5538703696999262 0.07249521398815045 11.541169545847584 12 365.5652493024488 2060.960342153794 -8.285174087466618
94 739.0830943229598 514.7679095848607 1.9346335288717516 0.5718708923930387 0.08726075198096793 22.993652840032233 13 364.65785793505654 2153.382081861505 -8.332802737496385
99 707.3086988829477 556.9469991233099 1.9204247592961565 0.5676708298924465 0.07877506441299836 21.406715092908417 13 347.8197684673752 2119.136205833062 -8.315397178870711
39 779.3735394001802 250.87170383972853 1.8793476830474756 0.5555285900828586 0.07700846338385899 18.94303035398642 12 337.06728636574303 1971.7082878867636 -8.237106654894866
15 260.0052558828506 82.8586065391471 2.003721286456083 0.5922929914591222 0.10479939913440478 7.225592650206958 12 249.6478860559272 1540.8609029688662 -7.969408589333976
82 264.63934082818247 454.9945931924145 1.9121051112183063 0.5652115710717587 0.13695148231324403 0.0541926421357878 12 214.29501430962176 1318.2884505519273 -7.800026118165397
111 892.0138773501213 610.1376079539696 1.9865703486942599 0.5872232343517122 0.05614516134242191 18.459063569646506 13 206.02048746773312 1296.3131598097293 -7.781774824724378
13 782.1987509630246 82.33607401125981 1.9323141650149 0.5711852965637473 0.12288418931853021 135.8398711288057 12 198.79233249577536 1280.4755824303497 -7.7684282531515585
80 832.3923194756304 429.08437753188826 1.8504881495036398 0.5469978130879075 0.08115006646970474 169.1762638847633 12 170.34481595160892 961.8650821114365 -7.45778539786031
74 451.2990905744151 411.20278713228805 1.8514201645098742 0.5472733134580732 0.12226389103313916 175.18175383522382 12 134.64659871210262 732.7392534053323 -7.162373644129003
